GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
ADAM17,"Inflammatory skin and bowel disease, neonatal 1",AR,Pediatric,Allergy/Immunology/Infectious; Cardiovascular; Dermatologic; Gastrointestinal,"Antiinfectious prophylaxis and  early and aggressive treatment of infections may be beneficial; Individuals may also have cardiovascular manifestations, and surveillance may allow beneficial interventions",22010916
ADAM22,Developmental and epileptic encephalopathy 61,AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27066583
ADAM9,Cone-rod dystrophy 9,AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11581183; 19409519; 25091951
ADAMTS10,Weill-Marchesani syndrome 1,AR,Pediatric,Cardiovascular; Musculoskeletal; Neurologic; Ophthalmologic,"Individuals can have cardiac anomalies, including long QTc, and awareness may allow for preventive/medical management, which may decrease morbidity and mortality; As the condition can include glaucoma, surveillance can allow early interventions that may potentially be beneficial related to preservation of visual status",11941487; 14598350; 15368195; 17663475
ADAMTS13,"Thrombotic thrombocytopenic purpura, hereditary (Schulman-Upshaw syndrome)",AR,Pediatric,Hematologic; Neurologic; Renal,Administration of plasma can be beneficial; Specific treatment in pregnancy may be beneficial,14443744; 651994; 7290149; 11530798; 11586351; 12181489; 12576319; 12637323; 19055667
ADAMTS17,Weill-Marchesan syndrome 4,AR,Pediatric,Musculoskeletal; Ophthalmologic,"Individuals may be at risk of glaucoma, and surveillance may allow early management and preventive measures; Agents that may contribute to glaucoma should be avoided",19836009; 20375329; 22486325 
ADAMTS18,"Microcornea, myopic chorioretinal atrophy, and telecanthus",AR,N/A,Craniofacial; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21862674; 22686506; 23356391; 23818446
ADAMTS2,"Ehlers-Danlos syndrome, dermatosparaxis type",AR,Pediatric,Craniofacial; Dermatologic; Musculoskeletal; Obstetric,"Individuals may  be prone to injuries (especially during delivery, as multiple congenital skull fractures and intracranial hemorrhage have been reported), and knowledge may allow delivery-based interventions to decrease related morbidity and mortality",1303238; 8215497; 7735500; 10417273; 15373769; 15389701; 18973246
ADAMTS3,Hennekam lymphangiectasia-lymphedema syndrome 3,AR,Pediatric,Craniofacial; Gastrointestinal,"The condition can include manifestations such as protein-losing enteropathy, and awareness may allow prompt diagnosis and management (such as nutrition via feeding tube), Endocrine manifestations such as growth hormone deficiency have been observed, and awareness may allow prompt recognition and treatment",28985353
ADAMTSL2,Geleophysic dysplasia 1,AR,Pediatric,Biochemical; Cardiovascular; Craniofacial; Gastrointestinal; Musculoskeletal ,"The disorder may frequently be clinically recognizable, but individuals can have cardiovascular manifestations such as progressive cardiac valve thickening necessitating surgical interventions very early in childhood, and early diagnosis may be beneficial to allow early treatment",18677313; 21415077; 21683322; 20301776
ADAMTSL4,"Ectopia lentis et pupillae; Ectopia lentis 2, isolated, autosomal recessive",AR,Pediatric,Ophthalmologic,"Although management related to some manifestations may be made through clinical observations (eg, related to amblyopia), surveillance related to intraocular pressure monitoring may be beneficial to allow prompt interventions; preventive measures (eg, related to contact sports) may be beneficial; Agents that may contribute to glaucoma should be avoided",2377351; 19200529; 20702823; 21051722; 22736615; 2338190
ADAR,Dyschromatosis symmetrica hereditaria; Aicardi-Goutieres syndrome 6,AD/AR,N/A,Dermatologic; Hematologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12916015; 12713580; 23001123; 24262145; 25243380
ADARB1,"Neurodevelopmental disorder with hypotonia, microcephaly, and seizures",AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",32220291
ADAT3,"Mental retardation, autosomal recessive 36",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23620220
ADCY1,"Deafness, autosomal dominant 44",AR,Pediatric,Audiologic/Otolaryngologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",15583425; 24482543
ADCY3,"Obesity, susceptibility to, 19",AR,N/A,Endocrine,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",29311636; 29311637
ADCY5,"Dyskinesia, familial, with facial myokymia",AD,Adult,Cardiovascular; Neurologic,"In addition to neurologic manifestations, individuals have been described with dilated cardiomyopathy and congestive heart failure, and awareness may allow surveillance (eg, with echocardiography), and early management",11310626; 22782511; 24700542
ADCY6,Lethal congenital contracture syndrome 8,AR,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24319099
ADD3,"Cerebral palsy, spastic quadriplegic, 3",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23836506
ADGRE2,Vibratory urticaria,AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",7294069; 26841242
ADGRG1,"Polymicrogyria, bilateral frontoparietal; Polymicrogyria, bilateral perisylvian",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15044805; 20929962; 21349848; 21723461;  23274687; 24531968
ADGRG2,"Vas deferens, congenital bilateral aplasia of, X-linked",XL,N/A,Genitourinary,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27476656
ADGRG6,Lethal congenital contracture syndrome 9,AR,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26004201
ADGRV1,"Usher syndrome, type IIC",AR/Digenic,Pediatric,Audiologic/Otolaryngologic; Neurologic; Ophthalmologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",12402266; 14740321; 16273391;19357116; 18854872; 0440071; 21174530
ADH5,"AMED syndrome, digenic",Digenic,Pediatric,Craniofacial; Dermatologic; Hematologic; Musculoskeletal; Neurologic; Oncologic,"The condition can include bone marrow failure as well as predisposition to malignancy, and awareness may allow early diagnosis and management of these manifestations",33355142
ADK,Hypermethioninemia due to adenosine kinase deficiency,AD,N/A,Audiologic/Otolaryngologic; Biochemical; Cardiovascular; Gastrointestinal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21963049
ADNP,"Helsmoortel-van der Aa syndrome (Mental retardation, autosomal dominant 28)",AD,N/A,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24531329; 25057125
ADPRS,"Neurodegeneration, childhoo-onset, stress-induced, with variable ataxia and seizures",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30100084; 30401461
ADRA2B,"Epilepsy, myoclonic, familial adult, 2",AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24114805
ADRA2C,"Beta-blocker response, association with",AD,Pediatric,General,"The presence of variants may influence medication choice (eg, in congestive heart failure)",17496726
ADRB1,"Beta-blocker response, association with",AD,Pediatric,Neurologic,"The presence of variants may influence medication choice (eg, in congestive heart failure)",10212248; 12197595; 12374873; 16844790; 17496726; 31473062
ADRB2,"Beta-2-adrenoreceptor agonist, reduced response to",AD,Pediatric,General,"Selection of medications (eg, in asthma treatment) may be influenced by the presence of certain variants",8383511; 7706471; 9399966; 11306963; 11739457; 12030897; 12571262; 15284533; 15500895; 15867853; 16596417
ADSL,Adenylosuccinase deficiency,AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",6150139; 3234432; 1405483; 1302001; 9266401; 9266351; 10090474; 10888601; 11042421; 12070256; 12833398; 17188615; 18524658; 18649008; 18830228; 20177786; 20933180; 22883297; 23055421; 23504561
ADSS1,"Myopathy, distal, 5",AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26506222; 28268051; 32331917; 32646962
AEBP1,"Ehlers-Danlos syndrome, classic-like, 2",AR,Pediatric,Cardiovascular; Gastrointestinal; Genitourinary; Musculoskeletal,"The condition can include manifestations such as bowel rupture and cardiovascular complications including aortic root dilatation, and awareness may allow surveillance, preventative measures, and early management",27023906; 29606302
AFF2,Premature ovarian failure,XL,Pediatric,Endocrine; Neurologic; Obstetric,Genetic knowledge may be beneficial to allow interventions such as preserving eggs in women with premature ovarian insufficiency,8334699; 8023854; 7536393; 7783162; 8673085; 8651274; 9341861; 9475603; 10528856; 12605436; 19136466; 21739600
